               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.033134,            0.028385,            0.056398,              0.3909,             0.35902,             0.34142,             0.18764,            0.024498,            0.013404,            0.028929,            0.002872,            0.002872,            0.002872
                  38,            0.032433,            0.028371,            0.055904,             0.39133,             0.36301,             0.34508,             0.18969,             0.02445,            0.013388,            0.028585,            0.002674,            0.002674,            0.002674
                  39,            0.032869,             0.02844,            0.054209,             0.39581,             0.36502,             0.34765,             0.19134,            0.024386,             0.01338,            0.028262,            0.002476,            0.002476,            0.002476
                  40,            0.032388,            0.028384,            0.053503,             0.39665,             0.37114,             0.35011,             0.19293,            0.024329,            0.013373,            0.027959,            0.002278,            0.002278,            0.002278
                  41,             0.03215,            0.028233,            0.052967,              0.3979,             0.37204,             0.35226,             0.19436,            0.024288,            0.013368,            0.027713,             0.00208,             0.00208,             0.00208
                  42,            0.031834,            0.028202,            0.052265,              0.3993,              0.3734,             0.35472,             0.19562,            0.024237,             0.01336,            0.027454,            0.001882,            0.001882,            0.001882
                  43,            0.031225,            0.028104,            0.051364,              0.4041,             0.37375,             0.35652,             0.19664,            0.024194,            0.013354,            0.027225,            0.001684,            0.001684,            0.001684
                  44,            0.031312,            0.028183,            0.050361,             0.40486,             0.37559,             0.35914,             0.19804,            0.024152,             0.01335,            0.027006,            0.001486,            0.001486,            0.001486
                  45,            0.030969,            0.028026,            0.048981,             0.40749,             0.37839,             0.36066,             0.19897,            0.024107,            0.013345,            0.026796,            0.001288,            0.001288,            0.001288
                  46,            0.030484,            0.028064,            0.048942,             0.41164,             0.37812,             0.36268,             0.20036,            0.024063,            0.013338,              0.0266,             0.00109,             0.00109,             0.00109
                  47,            0.029969,            0.027935,            0.048302,              0.4157,             0.37812,             0.36475,             0.20161,            0.024018,            0.013335,            0.026411,            0.000892,            0.000892,            0.000892
                  48,            0.029492,            0.027783,            0.047321,             0.41515,             0.38003,             0.36659,             0.20268,            0.023972,            0.013328,            0.026218,            0.000694,            0.000694,            0.000694
                  49,            0.029365,            0.027755,            0.046466,             0.41781,             0.38172,             0.36828,             0.20347,            0.023932,            0.013323,            0.026043,            0.000496,            0.000496,            0.000496
